Tariff Item,Harmonized System (HS) Heading,Indicative Description
0105.11.22,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment
0105.94.92,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Other: Fowls of the species Gallus domesticusOther: Over access commitment
0105.99.12,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Other: OtherTurkeys: Over access commitment
0207.11.91,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, fresh or chilledOther: Within access commitment"
0207.11.92,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, fresh or chilledOther: Over access commitment"
0207.12.91,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, frozenOther: Within access commitment"
0207.12.92,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, frozenOther: Over access commitment"
0207.13.92,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, fresh or chilledOther: Over access commitment, bone in"
0207.13.93,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, fresh or chilledOther: Over access commitment, boneless"
0207.14.21,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, frozenLivers: Within access commitment"
0207.14.22,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, frozenLivers: Over access commitment"
