Numéro tarifaire,Position du Système harmonisé (SH),Description indicative
0105.11.22,"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques.",D'un poids n'excédant pas 185 g : Volailles de l'espèce Gallus domesticusPoulets à chair pour la production nationale : Au-dessus de l'engagement d'accès
0105.94.92,"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques.",Autres : Volailles de l'espèce Gallus domesticusAutres : Au-dessus de l'engagement d'accès
0105.99.12,"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques.",Autres : AutresDindons et dindes : Au-dessus de l'engagement d'accès
0207.11.91,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Non découpés en morceaux, frais ou réfrigérésAutres : Dans les limites de l'engagement d'accès"
0207.11.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Non découpés en morceaux, frais ou réfrigérésAutres : Au-dessus de l'engagement d'accès"
0207.12.91,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Non découpés en morceaux, congelésAutres : Dans les limites de l'engagement d'accès"
0207.12.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Non découpés en morceaux, congelésAutres : Au-dessus de l'engagement d'accès"
0207.13.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, frais ou réfrigérésAutres : Au-dessus de l'engagement d'accès, non désossés"
0207.13.93,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, frais ou réfrigérésAutres : Au-dessus de l'engagement d'accès, désossés"
0207.14.21,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, congelésFoies : Dans les limites de l'engagement d'accès"
0207.14.22,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, congelésFoies : Au-dessus de l'engagement d'accès"
0207.14.91,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, congelésAutres : Dans les limites de l'engagement d'accès"
0207.14.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, congelésAutres : Au-dessus de l'engagement d'accès, non désossés"
0207.14.93,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De volailles de l'espèce Gallus domesticus : Morceaux et abats, congelésAutres : Au-dessus de l'engagement d'accès, désossés"
0207.24.11,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, frais ou réfrigérésDe conserverie : Dans les limites de l'engagement d'accès"
0207.24.12,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, frais ou réfrigérésDe conserverie : Au-dessus de l'engagement d'accès"
0207.24.91,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, frais ou réfrigérésAutres : Dans les limites de l'engagement d'accès"
0207.24.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, frais ou réfrigérésAutres : Au-dessus de l'engagement d'accès"
0207.25.11,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, congelésDe conserverie : Dans les limites de l'engagement d'accès"
0207.25.12,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, congelésDe conserverie : Au-dessus de l'engagement d'accès"
0207.25.91,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, congelésAutres : Dans les limites de l'engagement d'accès"
0207.25.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Non découpés en morceaux, congelésAutres : Au-dessus de l'engagement d'accès"
0207.26.20,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, frais ou réfrigérésFALSE"
0207.26.30,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, frais ou réfrigérésFALSE"
0207.27.11,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, congelésFoies : Dans les limites de l'engagement d'accès"
0207.27.12,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, congelésFoies : Au-dessus de l'engagement d'accès"
0207.27.91,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, congelésAutres : Dans les limites de l'engagement d'accès"
0207.27.92,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, congelésAutres : Au-dessus de l'engagement d'accès, non désosssés"
0207.27.93,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 01,05.","De dindes et dindons : Morceaux et abats, congelésAutres : Au-dessus de l'engagement d'accès, désossés"
0209.90.10,"Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés.","AutresGraisse de volailles de l'espèce Gallus domesticus, dans les limites de l'engagement d'accès"
0209.90.20,"Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés.","Autres Graisse de volailles de l'espèce Gallus domesticus, au-dessus de l'engagement d'accès"
0209.90.30,"Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés.","AutresGraisse de dindons et dindes, dans les limites de l'engagement d'accès"
0209.90.40,"Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés.","Autres Graisse de dindons et dindes, au-dessus de l'engagement d'accès"
0209.90.90,"Lard sans parties maigres, graisse de porc et graisse de volailles non fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés.",AutresAutres
0210.99.11,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : AutresViande de volailles : De coqs et poules, dans les limites de l'engagement d'accès"
